
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,16-May-2021,Creation_Time,02:09:52,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pout_fund
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
3.900000e+1,1.280305e+1
3.925000e+1,1.283891e+1
3.950000e+1,1.287332e+1
3.975000e+1,1.290638e+1
4.000000e+1,1.293821e+1
4.025000e+1,1.296891e+1
4.050000e+1,1.299858e+1
4.075000e+1,1.302731e+1
4.100000e+1,1.305519e+1
4.125000e+1,1.308227e+1
4.150000e+1,1.310861e+1
4.175000e+1,1.313423e+1
4.200000e+1,1.315916e+1
4.225000e+1,1.318340e+1
4.250000e+1,1.320695e+1
4.275000e+1,1.322984e+1
4.300000e+1,1.325208e+1
4.325000e+1,1.327372e+1
4.350000e+1,1.329482e+1
4.375000e+1,1.331543e+1
4.400000e+1,1.333560e+1
4.425000e+1,1.335536e+1
4.450000e+1,1.337476e+1
4.475000e+1,1.339381e+1
4.500000e+1,1.341255e+1
4.525000e+1,1.343098e+1
4.550000e+1,1.344912e+1
4.575000e+1,1.346697e+1
4.600000e+1,1.348453e+1
4.625000e+1,1.350180e+1
4.650000e+1,1.351875e+1
4.675000e+1,1.353536e+1
4.700000e+1,1.355163e+1
4.725000e+1,1.356752e+1
4.750000e+1,1.358303e+1
4.775000e+1,1.359819e+1
4.800000e+1,1.361301e+1
4.825000e+1,1.362752e+1
4.850000e+1,1.364176e+1
4.875000e+1,1.365575e+1
4.900000e+1,1.366951e+1
4.925000e+1,1.368307e+1
4.950000e+1,1.369643e+1
4.975000e+1,1.370962e+1
5.000000e+1,1.372264e+1

