
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,16-May-2021,Creation_Time,02:14:04,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pout_fund
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
3.050000e+1,9.166991e+0
3.075000e+1,9.376030e+0
3.100000e+1,9.577337e+0
3.125000e+1,9.769350e+0
3.150000e+1,9.950979e+0
3.175000e+1,1.012186e+1
3.200000e+1,1.028225e+1
3.225000e+1,1.043279e+1
3.250000e+1,1.057430e+1
3.275000e+1,1.070762e+1
3.300000e+1,1.083357e+1
3.325000e+1,1.095287e+1
3.350000e+1,1.106616e+1
3.375000e+1,1.117395e+1
3.400000e+1,1.127670e+1
3.425000e+1,1.137480e+1
3.450000e+1,1.146857e+1
3.475000e+1,1.155825e+1
3.500000e+1,1.164407e+1
3.525000e+1,1.172625e+1
3.550000e+1,1.180500e+1
3.575000e+1,1.188047e+1
3.600000e+1,1.195276e+1
3.625000e+1,1.202202e+1
3.650000e+1,1.208839e+1
3.675000e+1,1.215203e+1
3.700000e+1,1.221307e+1
3.725000e+1,1.227161e+1
3.750000e+1,1.232770e+1
3.775000e+1,1.238142e+1
3.800000e+1,1.243289e+1
3.825000e+1,1.248226e+1
3.850000e+1,1.252965e+1
3.875000e+1,1.257518e+1
3.900000e+1,1.261894e+1
3.925000e+1,1.266098e+1
3.950000e+1,1.270135e+1
3.975000e+1,1.274011e+1
4.000000e+1,1.277735e+1
4.025000e+1,1.281317e+1
4.050000e+1,1.284769e+1
4.075000e+1,1.288104e+1
4.100000e+1,1.291331e+1
4.125000e+1,1.294456e+1
4.150000e+1,1.297488e+1
4.175000e+1,1.300428e+1
4.200000e+1,1.303280e+1
4.225000e+1,1.306044e+1
4.250000e+1,1.308723e+1
4.275000e+1,1.311322e+1
4.300000e+1,1.313845e+1
4.325000e+1,1.316300e+1
4.350000e+1,1.318695e+1
4.375000e+1,1.321035e+1
4.400000e+1,1.323325e+1
4.425000e+1,1.325569e+1
4.450000e+1,1.327769e+1
4.475000e+1,1.329928e+1
4.500000e+1,1.332046e+1
4.525000e+1,1.334124e+1
4.550000e+1,1.336159e+1
4.575000e+1,1.338152e+1
4.600000e+1,1.340100e+1
4.625000e+1,1.342002e+1
4.650000e+1,1.343861e+1
4.675000e+1,1.345680e+1
4.700000e+1,1.347462e+1
4.725000e+1,1.349211e+1
4.750000e+1,1.350931e+1
4.775000e+1,1.352625e+1
4.800000e+1,1.354294e+1
4.825000e+1,1.355939e+1
4.850000e+1,1.357563e+1
4.875000e+1,1.359164e+1
4.900000e+1,1.360745e+1
4.925000e+1,1.362304e+1
4.950000e+1,1.363842e+1
4.975000e+1,1.365358e+1
5.000000e+1,1.366852e+1

