
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,21-Mar-2021,Creation_Time,09:35:45,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,iip3_ref
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-3.000000e+1,-4.639861e+0
-2.900000e+1,-1.849552e+0
-2.800000e+1,-7.623468e-1
-2.700000e+1,-3.585374e+0
-2.600000e+1,-5.762484e+0
-2.500000e+1,-7.331051e+0
-2.400000e+1,-8.530248e+0
-2.300000e+1,-9.470429e+0
-2.200000e+1,-1.021859e+1
-2.100000e+1,-1.077520e+1
-2.000000e+1,-1.109826e+1
-1.900000e+1,-1.118639e+1
-1.800000e+1,-1.107604e+1
-1.700000e+1,-1.081000e+1
-1.600000e+1,-1.042599e+1
-1.500000e+1,-9.953195e+0
-1.400000e+1,-9.413376e+0
-1.300000e+1,-8.822455e+0
-1.200000e+1,-8.191162e+0
-1.100000e+1,-7.525571e+0
-1.000000e+1,-6.831456e+0
-9.000000e+0,-6.111377e+0
-8.000000e+0,-5.361870e+0
-7.000000e+0,-4.565155e+0
-6.000000e+0,-3.699783e+0
-5.000000e+0,-2.758979e+0

