.HEADER
..NAMES
,wf6
..UNITS
,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
.DATA
-5.100000e+1,1.000095e+0
-5.000000e+1,1.000121e+0
-4.900000e+1,1.000152e+0
-4.800000e+1,1.000554e+0
-4.700000e+1,1.004101e+0
-4.600000e+1,1.010445e+0
-4.500000e+1,1.015811e+0
-4.400000e+1,1.019285e+0
-4.300000e+1,1.021272e+0
-4.200000e+1,1.022227e+0
-4.100000e+1,1.022421e+0
-4.000000e+1,1.022139e+0
-3.900000e+1,1.021576e+0
-3.800000e+1,1.020790e+0
-3.700000e+1,1.019969e+0
-3.600000e+1,1.019046e+0
-3.500000e+1,1.018011e+0
-3.400000e+1,1.016883e+0
-3.300000e+1,1.015291e+0
-3.200000e+1,1.013019e+0
-3.100000e+1,1.009634e+0
-3.000000e+1,1.004199e+0
-2.900000e+1,9.954297e-1
-2.800000e+1,9.814474e-1
-2.700000e+1,9.597694e-1
-2.600000e+1,9.276373e-1
-2.500000e+1,8.825504e-1
-2.400000e+1,8.225283e-1
-2.300000e+1,7.449632e-1
-2.200000e+1,6.511651e-1
-2.100000e+1,5.541096e-1
-2.000000e+1,4.682762e-1
-1.900000e+1,3.978197e-1
-1.800000e+1,3.411816e-1
-1.700000e+1,2.957339e-1
-1.600000e+1,2.590984e-1
-1.500000e+1,2.293041e-1
-1.400000e+1,2.047731e-1
-1.300000e+1,1.847420e-1
-1.200000e+1,1.679757e-1
-1.100000e+1,1.537555e-1
-1.000000e+1,1.426199e-1
-9.000000e+0,1.350261e-1
-8.000000e+0,1.301978e-1
-7.000000e+0,1.258830e-1
-6.000000e+0,1.227608e-1
-5.000000e+0,1.219556e-1

