
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,18-Mar-2021,Creation_Time,14:59:56,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,iip3_ref
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
7.750000e+1,-1.015782e+1
7.800000e+1,-9.859786e+0
7.850000e+1,-9.560776e+0
7.900000e+1,-9.261449e+0
7.950000e+1,-8.962063e+0
8.000000e+1,-8.663559e+0
8.050000e+1,-8.366365e+0
8.100000e+1,-8.071691e+0
8.150000e+1,-7.780715e+0
8.200000e+1,-7.494778e+0
8.250000e+1,-7.215581e+0
8.300000e+1,-6.944953e+0
8.350000e+1,-6.685007e+0
8.400000e+1,-6.438037e+0
8.450000e+1,-6.206360e+0
8.500000e+1,-5.992352e+0
8.550000e+1,-5.798123e+0
8.600000e+1,-5.625467e+0
8.650000e+1,-5.475732e+0
8.700000e+1,-5.349597e+0
8.750000e+1,-5.247137e+0
8.800000e+1,-5.167683e+0
8.850000e+1,-5.109944e+0
8.900000e+1,-5.072157e+0
8.950000e+1,-5.052233e+0
9.000000e+1,-5.047828e+0
9.050000e+1,-5.056595e+0
9.100000e+1,-5.076270e+0
9.150000e+1,-5.104725e+0
9.200000e+1,-5.140050e+0
9.250000e+1,-5.180573e+0
9.300000e+1,-5.224861e+0
9.350000e+1,-5.271717e+0
9.400000e+1,-5.320136e+0
9.450000e+1,-5.369315e+0
9.500000e+1,-5.418609e+0
9.550000e+1,-5.467494e+0
9.600000e+1,-5.515578e+0
9.650000e+1,-5.562561e+0
9.700000e+1,-5.610947e+0
9.750000e+1,-5.655401e+0
9.800000e+1,-5.698226e+0
9.850000e+1,-5.739351e+0
9.900000e+1,-5.778740e+0
9.950000e+1,-5.816381e+0
1.000000e+2,-5.852282e+0
1.005000e+2,-5.886464e+0
1.010000e+2,-5.918960e+0
1.015000e+2,-5.949809e+0
1.020000e+2,-5.979058e+0
1.025000e+2,-6.006756e+0
1.030000e+2,-6.032955e+0
1.035000e+2,-6.057706e+0
1.040000e+2,-6.081062e+0
1.045000e+2,-6.103073e+0
1.050000e+2,-6.123788e+0
1.055000e+2,-6.143256e+0
1.060000e+2,-6.161519e+0
1.065000e+2,-6.178619e+0
1.070000e+2,-6.194594e+0
1.075000e+2,-6.209479e+0
1.080000e+2,-6.223303e+0
1.085000e+2,-6.235971e+0
1.090000e+2,-6.247750e+0
1.095000e+2,-6.258535e+0
1.100000e+2,-6.268337e+0
1.105000e+2,-6.277162e+0
1.110000e+2,-6.285011e+0
1.115000e+2,-6.291879e+0
1.120000e+2,-6.297752e+0
1.125000e+2,-6.302611e+0
1.130000e+2,-6.306428e+0
1.135000e+2,-6.097053e+0
1.140000e+2,-5.394632e+0
1.145000e+2,-8.288575e+0
1.150000e+2,-1.071795e+1
1.155000e+2,-1.245409e+1
1.160000e+2,-1.342724e+1
1.165000e+2,-1.395611e+1
1.170000e+2,-1.425058e+1
1.175000e+2,-1.426388e+1
1.180000e+2,-1.405940e+1
1.185000e+2,-1.376832e+1
1.190000e+2,-1.343399e+1
1.195000e+2,-1.320155e+1
1.200000e+2,-1.299988e+1
1.205000e+2,-1.268190e+1
1.210000e+2,-1.231303e+1
1.215000e+2,-1.193384e+1
1.220000e+2,-1.150747e+1
1.225000e+2,-1.103944e+1
1.230000e+2,-1.058075e+1
1.235000e+2,-1.014219e+1
1.240000e+2,-9.731569e+0
1.245000e+2,-9.349562e+0
1.250000e+2,-8.991880e+0
1.255000e+2,-8.625244e+0
1.260000e+2,-8.243616e+0
1.265000e+2,-7.858185e+0
1.270000e+2,-7.475454e+0
1.275000e+2,-7.089289e+0
1.280000e+2,-6.736652e+0
1.285000e+2,-6.374601e+0
1.290000e+2,-5.974210e+0
1.295000e+2,-5.519744e+0
1.300000e+2,-4.992093e+0
1.305000e+2,-4.405916e+0
1.310000e+2,-3.778457e+0
1.315000e+2,-3.242568e+0
1.320000e+2,-3.063856e+0
1.325000e+2,-3.424866e+0
1.330000e+2,-4.189789e+0
1.335000e+2,-5.097736e+0
1.340000e+2,-5.990737e+0
1.345000e+2,-6.809911e+0
1.350000e+2,-7.546826e+0
1.355000e+2,-8.205811e+0
1.360000e+2,-8.799811e+0
1.365000e+2,-9.342151e+0
1.370000e+2,-9.855538e+0
1.375000e+2,-1.034558e+1
1.380000e+2,-1.079514e+1
1.385000e+2,-1.117866e+1
1.390000e+2,-1.147881e+1
1.395000e+2,-1.168834e+1
1.400000e+2,-1.181066e+1
1.405000e+2,-1.185484e+1
1.410000e+2,-1.183447e+1
1.415000e+2,-1.176371e+1
1.420000e+2,-1.165215e+1
1.425000e+2,-1.150800e+1
1.430000e+2,-1.133645e+1
1.435000e+2,-1.113725e+1
1.440000e+2,-1.091047e+1
1.445000e+2,-1.066256e+1
1.450000e+2,-1.040314e+1
1.455000e+2,-1.013625e+1
1.460000e+2,-9.863138e+0
1.465000e+2,-9.581888e+0
1.470000e+2,-9.291386e+0
1.475000e+2,-8.991400e+0
1.480000e+2,-8.681695e+0
1.485000e+2,-8.363662e+0
1.490000e+2,-8.037907e+0
1.495000e+2,-7.704996e+0
1.500000e+2,-7.364657e+0

