.HEADER
..NAMES
,wf7
..UNITS
,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
.DATA
-4.700000e+1,1.674861e+1
-4.600000e+1,1.326950e+1
-4.500000e+1,6.630827e+0
-4.400000e+1,4.172867e+0
-4.300000e+1,2.919949e+0
-4.200000e+1,2.169875e+0
-4.100000e+1,1.667282e+0
-4.000000e+1,1.330969e+0
-3.900000e+1,1.087517e+0
-3.800000e+1,9.072715e-1
-3.700000e+1,7.827837e-1
-3.600000e+1,6.687660e-1
-3.500000e+1,5.673439e-1
-3.400000e+1,4.550628e-1
-3.300000e+1,2.747547e-1
-3.200000e+1,-4.368153e-2
-3.100000e+1,-6.681557e-1
-3.000000e+1,-1.839071e+0
-2.900000e+1,-8.914963e-1
-2.800000e+1,4.722702e+0
-2.700000e+1,7.980273e+0
-2.600000e+1,6.694442e+0
-2.500000e+1,5.674169e+0
-2.400000e+1,4.992193e+0
-2.300000e+1,4.472944e+0
-2.200000e+1,4.005696e+0
-2.100000e+1,3.486792e+0
-2.000000e+1,2.916707e+0
-1.900000e+1,2.372787e+0
-1.800000e+1,1.902433e+0
-1.700000e+1,1.513117e+0
-1.600000e+1,1.197664e+0
-1.500000e+1,9.448937e-1
-1.400000e+1,7.445995e-1
-1.300000e+1,5.871956e-1
-1.200000e+1,4.616571e-1
-1.100000e+1,3.628273e-1
-1.000000e+1,2.897870e-1
-9.000000e+0,2.320771e-1
-8.000000e+0,1.709728e-1
-7.000000e+0,1.010692e-1
-6.000000e+0,4.687549e-2
-5.000000e+0,2.882352e-2

